18,besemer s van der geest v murray j bijleveld c c j h and farrington d p  the relationship between parental imprisonment and offspring offending in england and the netherlands british journal of criminology  -,Portugese
19,महाराष्ट्र  मई  को भारत का राज्य बनाया गया था। इस दिन को हम महाराष्ट्र दिन के भी नाम से जानते है। शुरू में महाराष्ट्र में  जिले थे। उसके बाद  नये जिले बनाएँ गये है। वर्तमान के महाराष्ट्र में  जिले है। इन जिलों को छह प्रशासनिक विभागों में विभाजित किया गया है।,Hindi
20,ஆங்கில எழுத்துக்களை மட்டும் அல்லாமல் பன்மொழி எழுத்துக்களையும் பயன்படுத்தக்கூடியவாறு சீரான வள அடையாளங்காட்டி முறைமை அனைத்துலக வள அடையாளங்காட்டி முறை ஊடாக நீட்டப்பட்டுள்ளது,Tamil
21,en navidad de  poco después de que interpretó la canción en francés película papillon toi qui regarde la mer ella cantará la espléndida versión de gloria aleluya para una misa de medianoche celebrada por rtl,Spanish
22,la chirurgie comprenant principalement lablation de la tumeur la néphrectomie élargie comprenant le plus souvent la surrénale et les ganglions situés à proximité,French
23,dès les années  les communes voisines darnouville goussainville et dans une moindre mesure louvres desservies par la ligne ferroviaire paris-lille connurent une expansion démographique spectaculaire avec la création de nombreux lotissements de banlieue roissy demeurée à lécart du chemin de fer et de lindustrialisation restait un village agricole et sappauvrit progressivement le nombre de commerces passa de quatre-vingt-quatre en  à seulement dix-huit en  le même phénomène se produisit dans de nombreux autres villages du pays de france non desservis par une voie ferrée,French
24,merilai a maria-kristiina lotman toim  methis studia humaniora estonica  poeetika erinumber tartu tartu ülikooli kirjastus,Estonian
25,효모는 세포 수준의 생물학에서 모델 생물의 첫 번째 본보기로 간주해도 좋을 것이다 호흡 및 효소에 대한 생화학 분야는 여기에서 시작된다 이어 아카빤카비가 유전학 연구에서 이용되면서 유명해졌다 그 이후에도 기초 생물학의 여러 분야는 미생물을 모델로 사용하여 왔으나 오히려 균류보다 더 작고 단순한 미생물이다 박테리아류나 바이러스가 분자 생물학이나 유전학의 모델로 사용되는 것이 많아졌다 그러나 이러한 생물은 원핵 세포이며 우리와 같은 진핵 세포가 아니므로 가장 다루기 쉬운 진핵 생물로 균류가 사용되는 예는 많다 자주 사용되는 것은 신진 효모 saccharomyces cerevisiae와 분열 효모 schizosaccharomyces pombe이다,Korean
26,au er avril  les services asama sont actuellement effectués par des shinkansen série e et w de  à  ils étaient également effectués par des shinkansen série e,French
27,لویي په کالونیو کې د ظلم کولو خلاف وو او له خلکو سره ېې خاص همدردي لرله د هر ډول غلامي انعطاف ناپذیره دشمن وو د خلکو د رفاه لپاره ېې ډېرې هلې ځلې کولې ډېره هڅه ېې دا وه چې په افریقا کې د ځایي خلکو ټولنه جوړه کړي کله ېې چې تولنه جوړه کړه د دوي مشرانو باندې ېې د فرانسې د گټو ساتنه زدکړه او حتی داسې یو بنسټ ېې کېښود چې د دوي بچي چې وروسته به قدرت ته رسېږي د فرانسې گټو ته وفاداره پاتې کېږي لویي کوښښ وکړ چې سېنېگال داسې یوه بنسټیزه زاویه کړي له کوم ځای چې ټولې فرانسوی کالونی یا مستعمرې کنټرول کېدای شي,Pushto
28,de prinses was als erfgename van polen een goede partij voor de boheemse koning wenceslaus ii in  werd ze naar bohemen gebracht en werd er opgevoed door de tante van wenceslaus ii in  huwde de toen -jarige richezza met de -jarige wenceslaus ii die naast koning van bohemen in  ook koning van polen was geworden vervolgens werd richezza door hendrik van würben de bisschop van breslau tot koningin-gemalin van bohemen gekroond en nam ze voortaan de naam elisabeth aan in  baarde richezza een dochter agnes de verwachte zoon die de poolse kroon zou erven kwam er niet meer omdat wenceslaus ii in juni  stierf hierdoor werd richezza op slechts -jarige leeftijd al weduwe,Dutch
29,آهن ترکیباتی را ایجاد می‌کند که عمدتاً در حالت‌های اکسیداسیون  و  هستند به‌طور سنتی ترکیبات آهن ii فروس نامیده می‌شوند و ترکیبات آهن iii فریک نامیده می‌شود ترکیبات زیادی در هر یک از حالات اکسیداسیون وجود دارد که مثال‌هایی از آن شامل سولفات آهن ii feso و کلرید آهن iii fecl می‌باشد,Persian
30,lalimentation industrielle convient parfaitement à la croissance du chiot et à ladulte lalimentation ménagère nécessite un supplément en vitamines et en calcium,French
31,de-a lungul vieții watson a fost interesat de relațiile internaționale atât din perspectivă diplomatică cât și din perspectivă economică era cunoscut drept emisar neoficial al lui franklin d roosevelt în new york și primea frecvent vizita unor demnitari străini în  a fost ales președinte al camerei internaționale de comerț icc și la congresul bienal desfășurat la berlin a afirmat că mottoul conferinței este pace mondială prin comerț mondial aceste cuvinte au devenit sloganul icc și ibm,Romanian
32,занимает пятое место в диптихе автокефальных поместных церквей мира крупнейшая религиозная организация в россии на украине на  год по числу приходов духовенства и культовых сооружений но по некоторым опросам на начало  года не по количеству верующих в белоруссии молдавии включая приднестровье,Russian
33,藤女の女性教師。歳。数学担当。風紀指導を担当しており、リコにとっては天敵。藤女とその伝統に強い誇りを抱いており、サヨの彼氏バレの際には厳しい態度を取る。その一方で体育祭の時に天ヶ崎が仕込んだ悪ふざけを承知の上で見逃したり、生徒会執行部が何事か画策しているのを悟りながらある一線を越えない限り黙認するなど、単なる堅物ではない一面ものぞかせる。体育祭の応援合戦でマキマキオから白いバラを受け取った際には、顔を真っ赤にしていた。,Japanese
34,walter kaudern dalam bukunya menyatakan wawo lage dianggap sebagai desa asal mereka desa ini sendiri terletak pada wilayah khusus di sungai sinaolea tepat di wilayah sungai yang menikung tajam dari selatan ke barat di desa ini to lage yang sering berperang dengan suku tetangga mereka telah berkembang menjadi suku yang relatif kuat dan berkuasa pada akhir abad ke- ketika posisi belanda di sulawesi menjadi semakin berpengaruh to lage tinggal di sejumlah desa yang kuat,Indonesian
35,imprimat psalterium quzhayae librum primum imprimatus in libano psalterium est liber psalmorum in lingua arabica cum litteras aramicas garshuni,Latin
36,media [sc via] sive mese graece ἡ μέση [sc ὁδός] erat urbis constantinopolis via principalis quae palatium imperiale et portam auream inter se conectit a quo loco incepit via egnatia,Latin
37,in  johnson was awarded an american institute of architects gold medal in  he became the first recipient of the pritzker architecture prize the most prestigious international architectural award,English
38,attirant dans ses clubs les meilleurs joueurs des deux hémisphères monnayant des droits de diffusion tv avantageux populaire auprès du public qui garnit les stades le top  est aujourdhui considéré comme le championnat national de rugby le plus riche au monde,French
39,"poço de jacó está localizado a  metros de tell balata na parte oriental da cidade de nablus dentro do recinto do mosteiro de bir yaqub o poço é localizado na entrada da igreja nos terrenos do mosteiro e descendo as escadas até a cripta onde o poço é conservado junto com ""um pequeno guincho um balde ícones de ex-votos e muitas velas acesas"" a tumba de josé está localizado ao norte do poço de jacó em um prédio da era otomana marcado por uma cúpula branca",Portugese
40,bussy-saint-georges has built its identity on a green model environment with parks and gardens they represent  hectares of integrated green spaces  kilometres  miles of soft connecting links  squares and parks in the city centre  pools and more than  trees today,English
41,زلاتان ابراھیموویچ zlatan ibrahimović سویڈش تلفظ [ˈslaːtan ɪbraˈhiːmovɪtʂ] بوسنیائی تلفظ [ˈzlatan ibraˈxiːmɔʋitɕ] ایک سویڈش پیشہ ورانہ فوٹبالر ہے جو بطور اسٹرائیکر لیگ  کلب پیرس سینٹ جرمین ligue  club paris saint-germain اور سویڈش قومی ٹیم میں بھی بطور کپتان کھیلتا ہے۔,Urdu
42,"lock helen  ""a mans story is his gris-gris"" ishmael reeds neo-hoodoo aesthetic and the african-american tradition south central review  – jstor ",Latin
43,"bintang ini memiliki nama tradisional sulafat sulaphat berasal dari bahasa arab السلحفاة al-sulḥafāt yang berarti ""kura-kura"" nama alternatif adalah jugum berasal dari bahasa latin iugum berarti ""penyeimbang"" nama lainnya untuk bintang ini adalah ",Indonesian
44,"dalam bahasa inggris istilah easter paskah menurut bede berasal dari bahasa saxon yaitu kata ēastre atau ēostre pengucapan inggris lama [ˈæːɑstre ˈeːostre] yang masih berhubungan dengan estre seorang dewi bangsa teutonik dewi cahaya fajar dan musim semi yang perayaannya berdekatan dengan perayaan paskah yang sudah tidak dikenal lagi pada zaman bede bahkan di ""edda"" bahasa anglo-saxon termasuk inggris eâster eâstron jerman kuno ôstra ôstrara ôstrarûn jerman ostern april disebut easter-monadh bentuk plural eâstron digunakan karena perayaannya berlangsung selama tujuh hari seperti bentuk plural dalam bahasa perancis pâques istilah tersebut diterjemahkan dari bahasa latin festa paschalia seluruh oktaf paskah",Indonesian
45,教会旋法はまず終止音（finalis）によってつに分類される。そしてそれぞれが音域（ambitus）によって終止音から高くまで上がる正格（authenticus）とあまり上がらない変格（plagalis）のつに分けられる。 例えば、ドリア旋法はニ音を終止音とする正格旋法であり、ヒポドリア旋法はその変格旋法である。,Japanese
46,قبل عام بالضبط وبتاريخ  أعلن البغدادي خطة هدم الأسوار وبتاريخ  هاجمت داعش سجنين في بغداد هما سجن التاجي وسجن بغداد المركزي ونجحت في تهريب أكثر من  معتقل,Arabic
47,ـــ په  رجب  هـ ق كال دوانت وايگل ولسوالي دجمچگل په سيمه كې داشغالگرو عسكرو خورا ستر بيس چې دوئ ته يې خورا ستراتيژيك اهميت درلود دمجاهدينو دمسلسلو بريدونو له امله تخليه كړ او گڼ شمیر غنيمتونه دمجاهدينو لاس ته ورغلل,Pushto
48,ia menikahi giacomina wafat  februari  putri ugolino della gherardesca pada tahun  atas anjuran ayahnya meskipun ia telah memiliki keturunan hasil hubungannya dengan vera cappai di villasalto ia digantikan oleh putranya andrew dan marianus ia meninggalkan seorang putri yang sah joanna yang wafat pada tahun,Indonesian
49,theokritos herdediktning har tjänat som förebild för den romerska exempelvis vergilius liksom för senrenässansens och rokokons herdeidyller,Swedish
50,deliège werd gemeenteraadslid  en burgemeester - van binche hij was ook provincieraadslid van  tot  hij nam initiatieven voor de heropleving van het carnaval van binche hij stichtte het internationaal museum van het carnaval en de maskers,Dutch
51,много сделал для понимания деятельности м в ломоносова и должной оценки её президент академии наук украины в и вернадский чьё имя в ряду русских естествоиспытателей по праву соседствует с именем первого русского учёного «ломоносов xx века» в и вернадский возглавлял комиссию по изучению наследия в канун -летнего юбилея его первой лаборатории,Russian
52,tussen een kruising in het westen van bischofswerda waar de b aansluit op de b een kruising met de b in het oosten van de stad bautzen is de weg vervangen door de b de a en de b,Dutch
53,وعندما وصل جنود الحملة الفرنسية غرب مدينة الإسكندرية في  يوليو عام  زحفوا على المدينة واحتلوها بعد مقاومة من جانب أهلها وحاكمها محمد كريم دامت ساعات وبعد ذلك أخذ نابليون يزحف على القاهرة بطريق دمنهور حيث استطاع الفرنسيون احتلال مدينة رشيد في  يوليو ووصلوا إلى الرحمانية وهي قرية على النيل وفي تلك الأثناء كان المماليك يعدون جيشاً لمقاومة الجيوش الفرنسية بقيادة مراد بك حيث التقى الجيشان بالقرب من شبراخيت في  يوليو إلا أن الجيوش المملوكية هُزِمَت واضطرت إلى التقهقر فرجع مراد بك إلى القاهرة,Arabic
54,كان بصوته الشجي المميز خطيباً مميزاً وصاحب مدرسة وطور قلّ أن تجد له مثيلا وقد عرف الشيخ حسن زين الدين في خطابته بالإخلاص في القراءة والالتزام في الطرح الخاص في فن الخطابة الحسينية حيث إلهاب العواطف ومخاطبة العقل في نفس الوقت فكان يعطي مصائب أهل البيت من وقت القراءة الكثير وكذلك الالتزام بالسيرة العامة لأهل البيت والاهتمام بالجانب العقائدي والفقهي العام ومن مميزات خطابته التحقيق التاريخي والإلمام بسير أهل البيت وتفاصيل الأحداث التي رافقت حياتهم المقدسة وكان بحراً زاخراً من المعرفة بالتاريخ الإسلامي وأحوال العرب قبل الإسلام من هنا فإن الشيخ حسن قد حاز على الشهرة في هذا المجال لأنه استطاع أن يستخدم المنبر الحسيني في الإرشاد والتوعية الإسلامية وربط المجتمع بفكر أهل البيت عليهم السلام ولذلك كله فإنه قلّ أن تجد قرية من قرى البحرين لم يعتل منابرها فعلى سبيل المثال لا الحصر فقد اعتلى منابر دار كليب لما يقرب من أربعة عقود متصلة ومنابر جدحفص لخمسة ومنابر سترة لثلاثة متصلة أو تزيد,Arabic
55,arianespace şirketi vegayı kutupsal ve güneş eşzamanlı yörüngelere gidecek olan görevler için uyarlanmış bir fırlatma sistemi olarak pazarlamaktadır yeterlilik kanıtlama uçuşunda vega ana görev-yükü olan  kg ağırlığındaki lares uydusunu  km yükseklikteki dairesel bir yörüngeye çıkararak  derecelik bir eğimle yerleştirmiştir,Turkish
56,تدبیر فلاح و نجات و اصلاح چند سوالات کا جواب ہے جو ھ میں حاجی منشی لعل خان نے امام احمد رضا خان سے پوچھے تھے۔ یہ فتاویٰ رضویہ کی بارہویں جلد میں بھی شامل ہے اور الگ سے بھی شائع ہوا ہے۔,Urdu
57,en application du schéma départemental de coopération intercommunale elle fusionne le er janvier  avec la communauté de communes bourbre-tisserands la communauté de communes de la vallée de lhien et la communauté de communes les vallons du guiers pour créer la communauté de communes les vals du dauphiné,French
58,katie nasceu e cresceu na cidade de middlebury no condado de new haven estado de connecticut seus pais são clara e mark stevens katie ainda tem um irmão chamado ryan stevens se formou na pomperaug high school na cidade de southbury connecticut em junho de,Portugese
59,segundo o censo de  jiribam tinha uma população de  habitantes os indivíduos do sexo masculino constituem  da população e os do sexo feminino  jiribam tem uma taxa de literacia de  superior à média nacional de  a literacia no sexo masculino é de  e no sexo feminino é de  em jiribam  da população está abaixo dos  anos de idade,Portugese
60,vivendi universal entertainment diciptakan pada bulan desember  dengan merger dari perusahaan media vivendi dengan jaringan televisi canal dan akuisisi universal studios dari perusahaan kanada seagram,Indonesian
61,yong masuk parlemen pada  untuk kursi padawan ia kemudian dilantik menjadi sekretaris parlementer sebelum memasuki politik ia adalah seorang ahli farmasi lulusan dari universitas queensland ia lahir di betong sarawak,Indonesian
62,இரண்டு மீட்டர்களும் ஒரு அரை மீட்டரும் இணைந்த நீளம் வழக்கமாக  மிமீ அல்லது  மீ என பதிவு செய்யப்படுகிறது  செமீ என பதிவு செய்வது தரமற்றதாக கருதப்படுகிறது,Tamil
63,gatunätet i lunds stadskärna är på många ställen många hundra år gammalt under -talet gjordes dock en del förändringar så här står det i den andra upplagan av nordisk familjebok utgiven år,Swedish
64,مدت‌ها پیش از ظهور مسیحیت گیاهان و درختان سبز معنای ویژه‌ای برای مردم در فصل زمستان داشته‌اند همین‌طور که امروزه مردم خانه‌های خود را با درختان کاج و صنوبر تزیین می‌کنند مردم باستان نیز شاخه‌های درختان را بر روی درب‌ها و پنجره‌های خانه‌های خود آویزان می‌کردند در بسیاری از کشورها مردم باور داشتند که این درختان سبز آن‌ها را از جادوگری ارواح ارواح شیطانی و بیماری‌ها دور نگه می‌دارددرخت صنوبر به طور سنتی در جشن‌های مسیحیان و کافران برای هزاران سال استفاده می‌شده‌است کافران هنگام انقلاب زمستانی از این درختان برای تزیین خانه‌های خود استفاده می‌کردند مسیحیان این درختان را نماد زندگی همیشگی با خدا می‌دانستند هیچ‌گاه مشخص نشده‌است که این درختان برای نخستین بار برای کریسمس استفاده می‌شده‌اند احتمال می‌رود که درختان کریسمس برای نخستین بار حدود  سال پیش در شمال اروپا مورد استفاده قرار گرفته‌باشند برخی بر این باورند که سنت بونیفاس درخت کریسمس را در سدهٔ هفتم میلادی ایجاد کرد برخی نیز بر این باورند که قدمت درختان به سال  میلادی در آلمان یا لتونی باز می‌گردد,Persian
65,расписывал храмы в костромской нижегородской и вологодской губерниях писал иконы для собора петра и павла в сестрорецке расписывал храм во имя рождества христова построенный в городе арзамасе мещанином александром михайловичем заяшниковым и его зятем дворянином николаем яковлевичем стобеосом за написание портрета которого игорев получил звание художника в  году мастер расписывает новопостроенный покровский храм в саратове для храма были изготовлены иконы для двух боковых приделов и вместе с учениками выполнена роспись стен в это же время в здании новой духовной семинарии он пишет иконы для домовой церкви иоанна богослова,Russian
66,titsingh i  illustrations of japan consisting of private memoirs and anecdotes of the reigning dynasty of the djogouns or sovereigns of japan london ackerman,Thai
67,세월호 참사 초기 구조 당시에 현장지휘관 osc·on scene-commander인 일차 청문회 당시 영상을 찍어보낸적이 없다고 부인한 김경일 정 정장의 휴대폰이 참사 당일 시 분 세월호 등항해사 김영호 씨 명의의 제주 소재 유선전화로 발신이 되어 초 간 통화한 사실이 밝혀졌다,Korean
68,سانچہقرآن-سورہ  آیت ۔۔۔* الَّذِينَ يَسْتَحِبُّونَ الْحَيَاةَ الدُّنْيَا عَلَى الآخِرَةِ وَيَصُدُّونَ عَن سَبِيلِ اللّهِ وَيَبْغُونَهَا عِوَجًا أُوْلَـئِكَ فِي ضَلاَلٍ بَعِيدٍ,Urdu
69,ประเทศญี่ปุ่นออกอากาศทางช่อง สถานีโทรทัศน์นิปปอน ทุกวันเสาร์ เวลา - น ตามเวลาประเทศญี่ปุ่น ตั้งแต่วันที่  เมษายน  -  มีนาคม  ซีซั่น -,Thai
70,o troço da linha de sines entre o quilómetro  e santiago do cacém foi inaugurado em  de junho de  os convidados partiram às  horas da estação ferroviária do sul e sueste em lisboa atravessando o rio tejo no barco évora entre os convidados estava o ministro das obras públicas duarte pacheco e o seu chefe de gabinete carlos alves o director geral do ministério raul da costa couvreur o chefe da divisão de construção rodrigo severiano monteiro os representantes da direcção da companhia dos caminhos de ferro portugueses luís costa manuel gonçalves constantino schrdëter de carvalho joaquim barros júlio dos santos e henrique bravo henrique peyssoneau joaquim bravo mendes barata jorge nunes o director geral dos caminhos de ferro álvaro de sousa rego o presidente do conselho de administração da cp vasconcelos correia o chefe do serviço de movimento barbosa pita o representante da junta autónoma das estradas jorge moreira e o professor antónio jacinto de vilhena que foi um dos principais impulsionadores da construção da linha de sines foram recebidos na estação do barreiro pelo governador civil de setúbal mário cais esteves que acompanhou a comitiva até santiago do cacém e por outras altas individualidades o comboio inaugural que partiu do barreiro era,Portugese
71,"ليلة  مايو  دخل مسلحون داعش مدينة الرمادي عاصمة محافظة الأنبار  وذلك باستخدام ست سيارات ملغومة شبه متزامنةكما أصدر داعش رسالة صوتية مسجلة لأبو بكر البغدادي يدعو جميع المسلمين للقتال ضد الحكومة العراقية في صلاح الدين والأنبار مدعيا أن هذا واجبهم كمسلمين ودعا البغدادي في التسجيل المسلمين للهجرة إلي ""أرض الخلافة"" وهي الأراضي التي يسيطر عليها التنظيم في سوريا والعراق وقال أيضاً أن هذه الحرب ليست حرب تنظيم الدولة الإسلامية بل حرب جميع المسلمين التي يتولي قيادتها التنظيم مشيرا إلي أنها ""حرب المسلمين ضد الكفار "" بهذه الرسالة أنتهت الشائعات حول وفاته",Arabic
72,இந்த இரண்டு வகையிலும் வரையறுக்கப்பட்ட பொறுப்பு நிறுமம் மற்றும் அளவற்ற பொறுப்பு நிறுமம் ஆகிய இரண்டு வகைகளும் உருவாக்கப்படலாம் வரையறுக்கப்பட்ட பொறுப்பு நிறுமங்களின் பொறுப்பைப் பொறுத்து கீழ் காணும் நிரும வகைகள் உருவாகின்றன,Tamil
73,د ننۍ نړۍ واقعيتونه دا دي چې د نړيوال کيدنې پروسه کې د ورسته پاتې او لږ پر مختللو هيوادونو رول او ونډه د شتمنو او پرمختللو هيوادونو په پرتله په هيڅ حساب ده  زما په نظر د نړيوال کيدنې په ځای به د نړيوال کولو اصطلاح حقيقت ته نژدې وي  همدرانگه د شتمنو هيوادونو په منځ کې په نړيوالو سياسي او پوځي سازمانو ملگري ملتونه  د امنيت شورا ناټو او نړيوالو اقتصادي جوړښتونو نړيوال بانک د پيسو نړيوال صندوق د سوداگرۍ نړيوال سازمان پورته ذکر شوې کميټې کې د امريکا متحده ايالاتو رول او ونډې همدارنگه د نړۍ په هیوادونو د نوو ليبرالانو د امپراطورۍ او اصولو منل او د امريکايی لوړپوړو چارواکو له خوا په ښکاره او ډاگه د نړۍ د مشرتوب او لارښوونې ادعا ته په کتو سره زما په فکر د نړيوال کولو د اصطلاح په ځای به د نړې امريکايی کولو اصطلاح کارول د اوسنيو واقعيتونو سره سمون ولري  گلوباليزم د پانگه وال نظام په امپرياليستي پړاو کې د نوي ښکيلاک په شکل کې نسبتاٌ نوی پړاو دی  د نړۍ په هيوادونو کې چې د ديکتې له لارې د نوو ليبرالانو د اقتصادي کړنلارې او ايدیالوژۍ د منلو کومه پروسه روانه ده دا نړيوال کيدنه نه خو نړيوال کول دي  بلکې امریکايي کول دي په امريکايي موډل سره يعنې د نړۍ امریکايي کوونه  په نورو هيوادونو او ولسونو باندې د خپلې ارادې او موډل د منلو او تپلو له پلوه امریکايي کوونه د سويتيزم سره پرتله کيدای شي  ځکه شورويانو ته هم د شوروي موډل پرته نور شکلونه د زغم وړ نه وو د چين پخوانۍ يوگوسلاويا سره د اختلافونو په هنگري او پخوانۍ چکوسلواکيا,Pushto
